"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"110001 ALTA FLORESTA D\'OESTE";"96,16";"60,80";"65,59";"57,99";"90,13";"96,70";"100,99";"92,92";"43,38";"109,82";"76,45";"102,38";"97,23";"87,21";"98,55";"88,81";"76,68";"84,61";"34,34";"85,88";"84,34";"24,47";"39,67";"56,67";"74,43";"69,66";"76,76"
"110002 ARIQUEMES";"118,97";"89,97";"66,24";"58,97";"100,43";"92,25";"89,24";"101,41";"68,18";"103,02";"76,54";"97,30";"93,89";"87,27";"109,34";"83,58";"72,22";"96,79";"38,84";"86,39";"95,73";"25,45";"70,43";"62,27";"80,98";"79,25";"84,57"
"110003 CABIXI";"82,44";"40,48";"58,20";"57,09";"87,82";"109,25";"98,01";"96,28";"88,45";"85,24";"81,60";"97,44";"97,92";"101,76";"111,40";"97,44";"90,43";"94,00";"47,63";"91,68";"99,65";"23,45";"65,34";"38,14";"77,84";"88,94";"85,71"
"110004 CACOAL";"109,65";"96,32";"65,30";"62,15";"89,77";"86,66";"90,62";"94,67";"82,43";"86,87";"75,55";"89,99";"90,63";"86,05";"98,08";"79,65";"71,03";"89,62";"44,46";"84,20";"86,94";"27,59";"47,71";"45,94";"71,95";"74,53";"79,06"
"110005 CEREJEIRAS";"97,46";"69,39";"71,11";"74,99";"97,23";"100,50";"108,10";"103,65";"106,29";"95,43";"81,20";"113,19";"103,40";"99,59";"109,53";"97,89";"79,87";"98,85";"100,65";"97,47";"97,42";"25,23";"85,66";"73,88";"80,24";"77,36";"85,12"
"110006 COLORADO DO OESTE";"83,18";"39,00";"59,31";"56,01";"82,79";"92,23";"91,90";"92,65";"53,08";"77,38";"66,41";"89,42";"85,31";"72,89";"102,03";"82,50";"69,67";"88,57";"32,27";"77,28";"88,95";"23,13";"30,89";"45,56";"74,38";"74,72";"75,31"
"110007 CORUMBIARA";"66,12";"42,99";"60,84";"68,30";"83,95";"99,72";"106,81";"95,41";"91,94";"88,99";"94,04";"115,69";"114,33";"114,23";"119,36";"106,90";"91,94";"90,50";"92,29";"111,82";"68,39";"18,69";"79,16";"58,64";"86,51";"81,90";"82,78"
"110008 COSTA MARQUES";"92,76";"56,51";"58,60";"55,71";"90,15";"97,89";"101,80";"97,17";"48,22";"80,89";"75,51";"88,97";"88,82";"79,71";"97,59";"85,35";"79,78";"84,92";"39,82";"83,62";"66,05";"24,62";"74,27";"54,03";"78,78";"78,54";"78,93"
"110009 ESPIGAO D\'OESTE";"94,44";"74,01";"63,92";"54,53";"92,29";"85,18";"84,06";"95,73";"72,05";"84,79";"70,35";"95,26";"88,17";"85,72";"92,80";"75,18";"65,52";"89,64";"36,84";"83,01";"84,98";"29,68";"45,93";"55,42";"72,64";"76,47";"78,15"
"110010 GUAJARA-MIRIM";"111,72";"78,11";"54,95";"56,48";"80,45";"82,37";"82,69";"86,05";"43,08";"81,53";"61,49";"80,70";"76,99";"69,36";"97,63";"67,52";"59,55";"80,52";"26,31";"67,71";"71,14";"17,86";"43,37";"30,59";"66,74";"78,21";"75,55"
"110011 JARU";"124,94";"96,70";"63,30";"57,26";"92,18";"86,99";"90,32";"99,26";"62,50";"89,13";"73,10";"95,50";"86,91";"91,28";"100,07";"83,50";"67,99";"95,79";"32,89";"72,97";"103,14";"27,33";"62,86";"61,20";"78,35";"77,20";"81,90"
"110012 JI-PARANA";"128,43";"92,78";"63,57";"57,83";"92,95";"87,61";"93,16";"103,49";"68,81";"99,29";"70,31";"86,44";"87,77";"89,52";"103,08";"80,44";"65,16";"95,99";"40,88";"79,23";"107,40";"28,27";"60,37";"55,07";"76,10";"80,77";"84,33"
"110013 MACHADINHO D\'OESTE";"95,21";"73,76";"65,64";"56,23";"92,14";"94,86";"96,11";"98,36";"59,02";"96,14";"83,90";"95,33";"101,08";"92,60";"99,97";"87,40";"81,48";"95,39";"41,18";"92,45";"101,17";"25,67";"59,52";"54,89";"82,61";"81,01";"83,08"
"110014 NOVA BRASILANDIA D\'OESTE";"113,75";"70,48";"64,81";"58,56";"100,95";"90,98";"96,47";"106,13";"65,96";"101,14";"77,87";"92,15";"86,98";"83,13";"96,47";"80,50";"69,96";"100,82";"47,29";"76,01";"103,28";"28,17";"31,34";"46,54";"72,05";"74,87";"81,03"
"110015 OURO PRETO DO OESTE";"113,43";"66,69";"60,26";"59,56";"87,56";"84,74";"81,78";"93,55";"55,11";"83,70";"64,85";"70,42";"82,67";"69,88";"100,50";"73,42";"65,46";"89,97";"29,72";"74,14";"87,40";"27,59";"40,53";"32,07";"76,11";"78,06";"78,44"
"110018 PIMENTA BUENO";"122,55";"109,31";"67,98";"62,43";"96,03";"93,36";"96,82";"97,27";"82,00";"89,58";"77,69";"99,58";"95,38";"90,31";"96,33";"86,48";"78,86";"92,68";"42,24";"89,88";"94,36";"22,31";"61,96";"61,22";"74,75";"75,11";"82,23"
"110020 PORTO VELHO";"103,73";"76,28";"65,01";"73,85";"87,03";"86,43";"88,61";"91,87";"65,84";"87,46";"73,05";"84,43";"87,86";"72,13";"100,09";"79,90";"66,27";"84,73";"40,79";"75,60";"74,31";"23,26";"41,09";"41,39";"74,82";"74,37";"77,32"
"110025 PRESIDENTE MEDICI";"87,74";"69,01";"61,91";"61,11";"84,26";"99,02";"99,64";"89,42";"50,21";"73,07";"72,18";"92,57";"92,04";"86,11";"96,26";"84,79";"73,23";"88,99";"28,65";"85,76";"87,92";"22,05";"63,20";"51,73";"71,60";"85,20";"81,22"
"110026 RIO CRESPO";"103,31";"77,65";"77,80";"71,43";"105,69";"107,83";"106,53";"119,76";"57,68";"89,31";"87,39";"123,78";"118,62";"98,57";"113,47";"107,10";"98,15";"101,90";"45,36";"107,74";"160,91";"17,59";"63,88";"54,18";"81,18";"80,86";"89,28"
"110028 ROLIM DE MOURA";"115,32";"83,43";"62,78";"64,74";"96,17";"87,19";"86,40";"97,49";"71,04";"86,56";"67,27";"86,25";"87,34";"76,39";"102,87";"81,77";"75,11";"93,37";"39,10";"74,76";"95,58";"26,56";"42,67";"25,86";"78,02";"76,70";"80,22"
"110029 SANTA LUZIA D\'OESTE";"110,32";"26,64";"49,23";"55,59";"70,49";"85,16";"93,18";"80,51";"65,69";"91,29";"74,67";"92,03";"96,51";"87,01";"100,03";"82,97";"77,37";"73,00";"46,75";"85,48";"89,91";"18,76";"37,51";"54,84";"69,61";"72,67";"74,94"
"110030 VILHENA";"123,54";"113,00";"72,97";"64,06";"98,51";"92,38";"95,31";"103,05";"75,91";"103,26";"80,02";"99,49";"97,27";"93,08";"102,27";"80,15";"72,37";"98,77";"40,38";"89,49";"104,36";"27,09";"65,69";"63,31";"81,57";"78,21";"85,39"
"110032 SAO MIGUEL DO GUAPORE";"86,85";"71,58";"56,23";"71,19";"86,41";"92,30";"97,71";"87,82";"77,54";"80,61";"66,06";"88,59";"96,09";"91,82";"100,02";"87,61";"74,19";"81,74";"54,78";"76,80";"64,71";"22,97";"43,06";"44,09";"65,74";"83,05";"79,78"
"110033 NOVA MAMORE";"75,15";"39,87";"56,25";"59,93";"85,86";"85,88";"87,48";"96,14";"42,94";"82,98";"76,67";"91,82";"87,82";"69,36";"95,84";"80,27";"74,83";"81,30";"25,42";"73,48";"61,91";"17,80";"43,13";"39,66";"74,63";"72,59";"72,84"
"110034 ALVORADA D\'OESTE";"107,60";"70,47";"59,50";"56,26";"89,90";"100,33";"103,80";"103,82";"55,06";"95,83";"85,58";"107,99";"115,79";"105,68";"111,81";"98,81";"85,99";"98,93";"27,11";"101,75";"100,09";"25,93";"58,27";"28,97";"89,23";"86,61";"87,44"
"110037 ALTO ALEGRE DOS PARECIS";"58,09";"19,41";"63,21";"63,68";"99,48";"90,93";"95,98";"103,20";"53,29";"100,59";"79,58";"95,01";"93,06";"95,49";"113,99";"94,07";"85,00";"95,65";"52,27";"89,96";"75,77";"28,65";"62,86";"54,08";"83,20";"84,98";"83,64"
"110040 ALTO PARAISO";"80,85";"61,51";"65,62";"58,87";"100,71";"94,89";"97,73";"105,29";"31,86";"98,16";"61,51";"99,10";"89,64";"75,38";"107,72";"83,73";"69,87";"101,56";"34,76";"74,12";"109,86";"27,59";"62,89";"35,87";"86,62";"78,39";"81,41"
"110045 BURITIS";"109,46";"94,93";"78,92";"61,71";"110,89";"94,09";"93,71";"116,03";"65,42";"116,76";"73,06";"82,00";"89,40";"95,52";"119,12";"102,81";"82,68";"110,80";"49,82";"90,01";"94,27";"51,41";"63,65";"48,18";"100,95";"87,35";"91,59"
"110050 NOVO HORIZONTE DO OESTE";"53,49";"33,33";"57,77";"70,20";"80,44";"94,48";"99,83";"85,02";"37,09";"76,91";"73,03";"96,53";"104,28";"94,56";"94,93";"83,56";"67,85";"78,91";"47,30";"95,83";"60,95";"17,11";"63,77";"43,08";"71,73";"71,99";"71,75"
"110060 CACAULANDIA";"79,00";"62,34";"57,00";"57,90";"88,99";"97,81";"102,36";"104,17";"46,60";"77,69";"72,25";"105,05";"102,88";"100,54";"92,52";"80,90";"70,09";"85,74";"34,01";"93,15";"73,94";"19,93";"59,34";"48,13";"79,95";"76,30";"77,48"
"110070 CAMPO NOVO DE RONDONIA";"71,98";"38,93";"36,17";"40,83";"76,91";"71,85";"67,30";"80,46";"34,16";"87,32";"53,37";"77,19";"64,37";"61,47";"74,69";"60,66";"53,75";"82,82";"22,90";"60,73";"82,78";"16,98";"30,66";"31,63";"51,51";"81,35";"71,90"
"110080 CANDEIAS DO JAMARI";"43,93";"28,13";"68,24";"73,63";"103,76";"102,39";"99,00";"106,83";"29,60";"88,56";"64,14";"71,15";"72,31";"62,45";"122,16";"85,48";"81,62";"100,43";"25,70";"56,79";"76,30";"22,42";"37,16";"32,99";"88,97";"85,57";"80,66"
"110090 CASTANHEIRAS";"51,54";"10,96";"56,73";"65,20";"80,05";"96,63";"102,48";"78,24";"71,82";"77,67";"78,48";"83,73";"98,69";"93,70";"96,48";"97,38";"75,89";"74,43";"73,64";"93,70";"61,95";"15,78";"72,70";"63,51";"66,83";"77,76";"74,38"
"110092 CHUPINGUAIA";"49,23";"34,44";"82,28";"73,08";"114,41";"102,77";"133,65";"116,48";"38,76";"126,53";"70,54";"109,79";"100,71";"81,20";"108,86";"82,54";"75,36";"120,10";"31,93";"92,81";"93,14";"41,29";"78,34";"49,40";"102,55";"84,50";"88,04"
"110094 CUJUBIM";"81,19";"71,30";"100,48";"81,25";"129,30";"117,37";"116,20";"128,57";"34,05";"121,50";"97,76";"101,97";"126,41";"111,21";"126,22";"101,42";"82,72";"128,10";"20,94";"89,78";"100,84";"41,04";"55,29";"58,31";"113,22";"82,72";"91,96"
"110100 GOVERNADOR JORGE TEIXEIRA";"87,63";"85,51";"49,26";"48,07";"81,71";"90,14";"96,98";"84,34";"43,72";"98,87";"71,88";"106,86";"87,51";"101,91";"100,99";"97,28";"78,65";"80,15";"39,95";"96,95";"69,60";"23,39";"64,15";"25,02";"71,82";"88,73";"83,26"
"110110 ITAPUA DO OESTE";"74,83";"57,60";"75,39";"80,01";"114,75";"122,50";"116,49";"130,23";"37,50";"100,25";"82,89";"119,98";"116,58";"60,26";"119,24";"82,04";"77,56";"120,76";"22,20";"97,98";"88,86";"24,54";"47,61";"29,69";"102,75";"91,25";"91,69"
"110120 MINISTRO ANDREAZZA";"68,04";"45,82";"53,36";"62,67";"87,34";"87,43";"94,63";"90,47";"52,79";"87,30";"83,16";"98,51";"107,90";"102,63";"96,77";"108,13";"97,11";"87,18";"30,44";"100,92";"79,31";"27,41";"65,54";"57,04";"69,34";"76,08";"76,79"
"110130 MIRANTE DA SERRA";"121,00";"75,14";"49,57";"46,37";"94,75";"82,46";"86,09";"102,86";"8,87";"88,20";"54,85";"72,13";"65,53";"48,66";"126,98";"48,00";"44,45";"98,04";"9,31";"61,12";"83,05";"27,75";"58,21";"12,23";"86,98";"89,75";"85,48"
"110140 MONTE NEGRO";"118,80";"69,58";"66,79";"65,97";"102,10";"101,08";"102,49";"110,11";"68,73";"87,55";"83,62";"112,16";"107,22";"99,50";"103,50";"88,84";"83,60";"103,37";"46,12";"103,30";"128,04";"23,61";"60,74";"63,12";"82,24";"86,10";"89,17"
"110143 NOVA UNIAO";"73,61";"85,85";"55,59";"57,08";"86,55";"86,83";"94,13";"91,31";"12,88";"82,88";"42,93";"56,21";"71,83";"48,59";"97,55";"61,01";"56,21";"88,92";"14,04";"70,73";"65,83";"21,31";"37,70";"4,43";"74,58";"78,51";"74,55"
"110145 PARECIS";"52,96";"35,59";"73,30";"65,14";"94,63";"90,15";"95,56";"97,40";"47,63";"93,68";"85,59";"113,32";"112,88";"136,46";"110,07";"114,85";"94,04";"88,87";"47,16";"112,23";"68,44";"29,04";"92,58";"71,00";"84,80";"83,08";"83,79"
"110146 PIMENTEIRAS DO OESTE";"75,82";"52,21";"59,69";"56,61";"88,93";"92,87";"91,95";"96,15";"43,81";"103,77";"65,19";"86,74";"85,36";"78,18";"98,04";"78,45";"70,47";"87,41";"47,42";"69,34";"75,35";"18,54";"40,00";"43,17";"75,64";"85,61";"81,51"
"110147 PRIMAVERA DE RONDONIA";"45,35";"52,71";"64,02";"74,66";"89,77";"103,58";"110,26";"92,49";"118,36";"89,49";"84,47";"113,65";"112,94";"103,06";"107,36";"94,82";"87,06";"86,39";"81,55";"101,41";"57,29";"21,46";"75,76";"67,22";"83,53";"85,64";"83,08"
"110148 SAO FELIPE D\'OESTE";"43,18";"55,13";"63,53";"62,00";"80,59";"99,36";"97,22";"84,04";"68,90";"84,08";"84,07";"106,78";"97,44";"98,72";"105,85";"100,00";"88,63";"75,00";"45,27";"95,24";"56,57";"24,55";"61,59";"50,41";"72,93";"80,01";"77,05"
"110149 SAO FRANCISCO DO GUAPORE";"115,13";"81,63";"83,33";"76,20";"120,60";"102,04";"118,43";"136,59";"90,37";"131,35";"81,39";"107,63";"97,77";"104,73";"133,16";"106,56";"80,24";"123,70";"52,89";"98,21";"95,33";"46,84";"46,33";"12,09";"112,69";"97,00";"99,67"
"110150 SERINGUEIRAS";"88,74";"69,99";"63,39";"68,07";"92,34";"98,71";"100,34";"91,85";"71,38";"101,06";"85,82";"100,59";"102,23";"90,48";"102,46";"100,20";"76,10";"88,81";"74,81";"96,98";"74,32";"23,98";"74,04";"60,63";"74,65";"92,13";"88,24"
"110155 TEIXEIROPOLIS";"84,85";"82,25";"73,65";"71,83";"108,68";"100,66";"111,58";"111,34";"67,12";"109,21";"83,51";"99,09";"105,07";"70,47";"117,30";"103,62";"96,54";"108,74";"84,25";"94,75";"89,90";"25,48";"70,29";"44,02";"92,92";"90,01";"91,37"
"110160 THEOBROMA";"81,99";"91,63";"51,82";"56,36";"86,25";"89,64";"89,53";"86,84";"46,35";"89,03";"79,73";"112,94";"97,15";"88,96";"103,87";"101,90";"95,24";"80,70";"35,46";"95,53";"72,70";"21,33";"50,45";"21,04";"75,30";"83,34";"80,75"
"110170 URUPA";"90,00";"71,23";"65,43";"68,46";"93,93";"102,76";"98,27";"104,59";"45,94";"99,92";"82,07";"104,48";"104,97";"97,56";"140,03";"95,84";"84,59";"104,23";"39,74";"98,53";"82,50";"31,65";"51,04";"59,07";"86,01";"89,39";"89,37"
"110175 VALE DO ANARI";"81,44";"66,71";"64,74";"57,36";"102,85";"91,58";"92,04";"121,38";"38,41";"104,43";"53,60";"80,76";"71,55";"118,89";"111,49";"65,25";"55,62";"105,17";"31,57";"78,16";"105,00";"26,42";"55,32";"27,72";"87,06";"86,92";"85,55"
"110180 VALE DO PARAISO";"68,34";"76,75";"56,88";"55,47";"81,97";"89,42";"89,95";"82,77";"46,97";"78,57";"74,46";"99,19";"104,30";"90,59";"112,06";"81,93";"71,69";"75,86";"48,34";"98,92";"65,56";"19,57";"43,24";"24,27";"71,32";"84,58";"78,89"
"120001 ACRELANDIA";"51,99";"22,26";"62,80";"53,26";"85,24";"74,71";"82,47";"95,98";"42,20";"91,28";"57,40";"72,64";"77,47";"61,36";"96,29";"64,00";"56,43";"89,38";"42,31";"64,86";"81,35";"11,00";"24,18";"26,15";"83,98";"81,45";"74,74"
"120005 ASSIS BRASIL";"65,31";"38,55";"40,01";"39,01";"57,04";"49,71";"55,29";"63,58";"29,22";"54,07";"27,87";"39,56";"37,86";"39,98";"67,55";"28,56";"27,25";"52,44";"21,68";"40,72";"56,38";"9,49";"24,65";"26,17";"50,86";"58,01";"51,90"
"120010 BRASILEIA";"103,89";"65,61";"58,81";"54,61";"76,60";"74,60";"73,46";"95,45";"20,82";"86,08";"49,91";"65,37";"66,05";"57,06";"96,18";"52,43";"47,57";"71,56";"31,14";"57,00";"62,12";"13,42";"41,92";"41,69";"73,77";"76,90";"72,89"
"120013 BUJARI";"53,89";"42,71";"59,30";"52,26";"79,31";"62,00";"67,72";"85,67";"33,50";"80,87";"45,09";"52,21";"54,44";"47,37";"86,51";"49,64";"47,79";"86,88";"24,54";"46,61";"72,22";"8,75";"33,70";"22,43";"87,47";"86,35";"70,77"
"120017 CAPIXABA";"41,44";"18,15";"58,02";"51,86";"77,45";"60,82";"65,58";"84,36";"61,63";"77,48";"56,46";"67,51";"70,14";"62,30";"106,18";"68,31";"56,81";"77,42";"30,53";"63,67";"54,25";"13,23";"14,52";"17,63";"81,22";"78,01";"69,02"
"120020 CRUZEIRO DO SUL";"104,98";"73,98";"50,12";"44,44";"67,09";"65,08";"66,01";"88,94";"31,31";"69,18";"48,23";"59,59";"63,44";"56,14";"81,78";"41,64";"37,67";"61,18";"26,03";"58,92";"59,12";"6,53";"27,18";"18,48";"65,98";"72,68";"67,09"
"120025 EPITACIOLANDIA";"84,44";"32,17";"60,74";"51,62";"83,18";"69,04";"68,67";"103,49";"17,35";"88,36";"42,12";"53,42";"53,42";"57,67";"99,41";"42,75";"42,67";"86,69";"24,16";"61,88";"81,93";"27,26";"44,83";"32,25";"78,80";"79,48";"73,97"
"120030 FEIJO";"102,78";"34,76";"45,15";"42,57";"70,52";"48,95";"53,38";"79,37";"12,59";"71,62";"32,97";"45,22";"48,87";"41,49";"89,83";"41,29";"36,43";"68,47";"18,63";"48,20";"64,33";"7,18";"21,71";"18,10";"72,03";"75,92";"65,48"
"120032 JORDAO";"89,75";"44,00";"60,18";"66,26";"78,86";"82,35";"83,26";"85,04";"88,26";"84,43";"73,29";"79,14";"86,09";"85,56";"111,69";"74,01";"65,60";"72,40";"51,79";"88,72";"52,14";"6,13";"11,53";"35,70";"80,23";"74,06";"74,27"
"120033 MANCIO LIMA";"109,16";"61,50";"45,06";"42,32";"75,96";"64,86";"60,37";"82,36";"22,67";"73,30";"49,00";"49,12";"50,57";"44,11";"82,83";"39,70";"36,53";"68,84";"21,62";"54,02";"87,58";"12,69";"18,04";"18,25";"65,06";"69,45";"64,95"
"120034 MANOEL URBANO";"93,49";"37,55";"56,19";"43,23";"75,10";"63,35";"62,34";"83,08";"49,42";"80,94";"43,32";"55,49";"48,62";"53,53";"93,07";"45,61";"44,62";"70,19";"32,41";"56,01";"82,04";"9,87";"26,08";"23,31";"66,87";"82,33";"70,69"
"120035 MARECHAL THAUMATURGO";"87,73";"45,29";"41,02";"41,41";"62,77";"53,76";"57,68";"73,35";"41,19";"65,86";"48,46";"57,71";"59,90";"58,92";"93,42";"41,89";"39,03";"60,68";"29,48";"55,62";"44,42";"6,04";"6,13";"17,42";"82,27";"76,92";"65,06"
"120038 PLACIDO DE CASTRO";"65,74";"24,31";"59,46";"58,10";"86,43";"78,14";"81,69";"115,87";"39,81";"97,68";"72,43";"70,09";"68,46";"67,01";"100,12";"78,31";"78,14";"88,70";"30,16";"73,03";"86,83";"17,15";"44,48";"28,02";"83,68";"78,60";"76,88"
"120039 PORTO WALTER";"75,48";"64,10";"42,04";"39,77";"63,26";"68,53";"57,66";"69,23";"35,15";"63,98";"44,27";"49,21";"51,34";"51,13";"82,95";"40,42";"37,45";"54,04";"29,81";"57,95";"43,90";"1,09";"27,36";"30,86";"61,41";"66,07";"59,81"
"120040 RIO BRANCO";"126,00";"79,80";"53,81";"69,35";"79,10";"69,82";"72,28";"91,47";"57,87";"78,03";"55,94";"67,19";"70,34";"68,29";"87,27";"60,67";"51,75";"76,16";"34,99";"62,99";"74,50";"12,94";"31,77";"27,28";"67,96";"74,27";"73,39"
"120042 RODRIGUES ALVES";"75,57";"65,41";"33,50";"33,09";"59,79";"52,36";"47,47";"67,54";"9,09";"60,05";"46,61";"34,44";"40,84";"58,94";"69,60";"50,89";"49,57";"51,75";"16,07";"53,82";"38,76";"3,55";"27,63";"14,52";"59,76";"67,62";"58,02"
"120043 SANTA ROSA DO PURUS";"107,84";"46,71";"61,51";"60,03";"84,33";"72,78";"73,82";"92,82";"60,34";"82,92";"68,29";"77,28";"78,78";"77,64";"100,03";"71,55";"60,98";"78,96";"36,41";"75,71";"144,24";"12,08";"20,28";"35,13";"73,17";"80,00";"76,13"
"120045 SENADOR GUIOMARD";"53,44";"13,96";"57,33";"52,45";"85,88";"62,12";"65,67";"101,64";"26,72";"96,57";"42,32";"54,35";"55,75";"44,84";"116,79";"43,05";"36,78";"81,12";"20,18";"50,80";"69,58";"13,10";"24,96";"19,14";"98,73";"81,84";"72,65"
"120050 SENA MADUREIRA";"95,59";"65,40";"51,59";"43,84";"71,56";"67,16";"67,93";"80,06";"45,63";"73,41";"56,84";"73,68";"76,54";"59,76";"84,10";"48,77";"45,44";"65,45";"32,98";"63,49";"75,00";"7,12";"40,36";"31,43";"60,86";"62,11";"63,66"
"120060 TARAUACA";"93,88";"70,86";"45,90";"40,03";"66,09";"58,51";"56,13";"75,85";"40,68";"62,14";"51,22";"48,32";"49,45";"67,34";"84,72";"60,00";"55,99";"56,25";"29,09";"60,10";"39,23";"7,75";"41,88";"26,72";"64,06";"70,40";"63,95"
"120070 XAPURI";"81,87";"33,62";"54,93";"54,70";"77,53";"78,53";"81,44";"98,33";"12,72";"92,85";"65,81";"73,63";"81,76";"80,09";"93,10";"67,78";"65,04";"78,80";"7,02";"70,48";"98,21";"13,05";"29,15";"28,10";"74,79";"80,18";"75,32"
"120080 PORTO ACRE";"33,92";"10,98";"58,71";"50,78";"81,98";"57,76";"61,87";"88,50";"23,84";"81,87";"46,21";"42,09";"46,15";"57,04";"99,74";"45,55";"42,95";"81,50";"21,29";"44,02";"77,63";"18,79";"21,58";"17,03";"82,39";"80,58";"67,45"
"130002 ALVARAES";"80,42";"69,50";"45,52";"48,51";"59,50";"76,45";"72,54";"65,55";"33,84";"58,07";"72,55";"85,94";"83,56";"60,77";"79,03";"72,38";"61,18";"57,33";"23,00";"55,94";"33,82";"11,04";"47,88";"52,04";"53,56";"68,10";"63,04"
"130006 AMATURA";"111,48";"69,64";"57,12";"72,08";"86,82";"100,33";"93,91";"92,25";"93,09";"88,32";"90,09";"100,45";"108,11";"98,96";"94,81";"98,74";"85,34";"84,28";"59,96";"100,45";"69,92";"26,29";"49,73";"70,27";"67,86";"78,94";"82,31"
"130008 ANAMA";"99,82";"65,88";"52,68";"67,40";"79,05";"86,17";"87,84";"116,15";"28,76";"82,80";"71,14";"91,37";"96,81";"72,62";"99,98";"82,79";"69,84";"75,80";"22,59";"80,66";"61,59";"23,44";"39,55";"40,16";"73,44";"80,12";"78,03"
"130010 ANORI";"96,08";"62,31";"50,28";"56,95";"81,96";"83,85";"80,68";"97,41";"34,42";"84,74";"67,60";"83,11";"88,82";"86,75";"86,27";"67,37";"56,61";"82,85";"29,91";"84,45";"100,58";"32,11";"36,98";"31,76";"74,46";"77,33";"75,83"
"130014 APUI";"88,38";"82,53";"60,61";"59,17";"75,47";"96,22";"94,84";"79,32";"57,30";"73,75";"86,42";"107,33";"103,18";"94,99";"82,51";"93,48";"87,90";"71,61";"44,21";"92,72";"49,17";"18,77";"53,04";"58,31";"61,63";"60,52";"67,26"
"130020 ATALAIA DO NORTE";"97,73";"58,26";"43,30";"47,14";"64,92";"66,06";"60,09";"85,33";"53,75";"66,34";"65,51";"68,90";"73,41";"82,36";"86,50";"69,42";"60,30";"66,86";"28,95";"68,09";"73,26";"16,33";"32,25";"37,34";"58,76";"64,22";"64,54"
"130030 AUTAZES";"100,36";"60,44";"57,20";"51,38";"70,86";"77,68";"70,64";"124,01";"58,72";"81,92";"65,90";"74,71";"75,19";"62,28";"87,74";"58,51";"57,07";"89,53";"27,41";"61,30";"77,87";"22,54";"49,20";"52,20";"82,46";"83,78";"78,37"
"130040 BARCELOS";"67,23";"46,52";"30,42";"38,97";"50,39";"51,25";"53,02";"71,37";"33,11";"46,75";"45,12";"51,14";"54,65";"45,09";"60,21";"56,60";"57,49";"47,31";"21,04";"43,98";"37,29";"11,94";"24,01";"24,84";"45,46";"42,96";"45,47"
"130050 BARREIRINHA";"90,85";"38,58";"49,28";"54,08";"69,31";"72,19";"70,56";"82,59";"56,00";"73,12";"60,06";"78,71";"76,41";"64,57";"86,26";"67,80";"58,01";"69,68";"30,86";"59,88";"74,11";"18,10";"15,40";"34,12";"64,30";"71,07";"67,79"
"130060 BENJAMIN CONSTANT";"108,03";"85,65";"46,88";"54,42";"84,87";"77,80";"70,30";"100,65";"70,47";"88,49";"61,86";"80,33";"73,98";"86,28";"88,32";"72,73";"54,01";"84,72";"37,84";"77,78";"75,83";"24,11";"48,35";"37,50";"79,18";"74,89";"75,65"
"130063 BERURI";"107,41";"46,89";"42,74";"48,50";"64,69";"56,19";"60,53";"65,24";"42,87";"70,23";"54,46";"67,30";"65,91";"58,43";"87,04";"53,26";"45,03";"65,64";"26,71";"57,40";"75,00";"15,83";"41,64";"42,02";"65,22";"57,30";"60,12"
"130068 BOA VISTA DO RAMOS";"112,02";"71,94";"65,35";"59,45";"79,93";"86,56";"89,01";"98,85";"50,59";"83,40";"82,58";"104,80";"105,07";"111,55";"103,56";"77,51";"72,21";"89,07";"26,98";"110,67";"63,46";"30,87";"27,51";"33,27";"82,63";"74,34";"78,30"
"130070 BOCA DO ACRE";"93,53";"61,89";"38,80";"41,69";"63,80";"55,02";"56,22";"67,56";"33,70";"68,08";"46,52";"54,31";"55,60";"46,09";"73,37";"41,36";"39,19";"64,55";"29,99";"52,94";"66,00";"19,53";"46,28";"38,47";"57,45";"52,49";"55,63"
"130080 BORBA";"90,72";"71,17";"50,77";"61,65";"73,36";"90,55";"88,12";"78,37";"43,95";"73,51";"74,53";"88,41";"85,25";"78,70";"91,25";"82,23";"75,66";"70,92";"29,75";"80,56";"53,78";"13,42";"48,29";"48,40";"63,49";"66,11";"68,46"
"130083 CAAPIRANGA";"82,58";"45,30";"41,88";"50,34";"61,73";"68,64";"65,27";"70,41";"24,10";"72,93";"58,81";"60,61";"66,09";"61,17";"83,61";"53,08";"40,64";"64,34";"25,97";"62,29";"48,98";"15,02";"23,73";"31,51";"64,10";"69,69";"63,77"
"130090 CANUTAMA";"100,30";"86,17";"53,43";"48,12";"59,46";"72,35";"63,86";"66,76";"45,86";"61,20";"69,13";"85,54";"88,01";"81,99";"90,99";"81,18";"77,05";"59,47";"38,10";"80,15";"48,48";"13,19";"38,77";"48,42";"69,09";"73,25";"69,11"
